# 1ef7f1ac-32d1-48a3-99f1-0cb388ea3fcb
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 3.4325614; 25.2613504; -2.6156097; 0.0095579; 7.4824588; 4.1772622
0.1995644; 3.5337881; 25.0874454; -2.6130959; 0.0155537; 7.5930531; -8.1274236
0.3991288; 3.6343728; 24.9158737; -2.6093972; 0.0211776; 7.3763519; -11.7245860
0.5986932; 3.7356832; 24.7447151; -2.6047430; 0.0255916; 7.0520172; -11.4398818
0.7982576; 3.8383052; 24.5733672; -2.5989694; 0.0324551; 6.7204882; -11.0947141
0.9978219; 3.9416352; 24.4033436; -2.5917239; 0.0422763; 6.3825341; -10.6973762
1.1973863; 4.0467459; 24.2336436; -2.5818995; 0.0557740; 6.0388004; -10.1209846
1.3969507; 4.1532886; 24.0659242; -2.5686546; 0.0779985; 5.6945179; -9.6068206
1.5965151; 4.2627473; 23.8993689; -2.5508780; 0.1037510; 5.3472587; -9.1803682
1.7960795; 4.3760751; 23.7344789; -2.5270315; 0.1331599; 4.9928976; -8.2128466
1.9956439; 4.4928038; 23.5741980; -2.4950472; 0.1949713; 4.6530682; -7.2406615
2.1952083; 4.6173955; 23.4163819; -2.4492332; 0.2737349; 4.3314071; -5.1256493
2.3947727; 4.7495662; 23.2671345; -2.3791417; 0.4313146; 4.0884340; -3.4026870
2.5943371; 4.8949439; 23.1290723; -2.2766716; 0.5798771; 3.9188241; -1.5474522
2.7939014; 5.0544074; 23.0095102; -2.1466670; 0.7292032; 3.8392121; -0.9544212
2.9934658; 5.2302122; 22.9135774; -1.9924762; 0.7893185; 3.7892761; -0.2856538
3.1930302; 5.4175034; 22.8470822; -1.8292014; 0.8424245; 3.7742019; -0.2856538
3.3925946; 5.6156079; 22.8119035; -1.6653859; 0.7982974; 3.7590674; 0.1159671
3.5921590; 5.8176308; 22.8091646; -1.5041838; 0.7735296; 3.7652189; -1.1809751
3.7917234; 6.0115741; 22.8368593; -1.3532297; 0.7761853; 3.7020957; -0.3351072
3.9912878; 6.2028387; 22.8930460; -1.2316034; 0.3247725; 3.6839872; -4.2745750
4.1908522; 6.3861579; 22.9662664; -1.1345096; 0.6711279; 3.4446561; -0.3064018
4.3904165; 6.5572697; 23.0626919; -0.9680776; 1.0158159; 3.4268589; -0.2336253
4.5899809; 6.7084469; 23.1917602; -0.7609302; 1.0300327; 3.4132265; -0.2336253
4.7895453; 6.8311197; 23.3513008; -0.5495621; 1.0340019; 3.3995395; -0.1815799
4.9891097; 6.9178071; 23.5323483; -0.3434724; 1.0350006; 3.3888634; -0.1166573
5.1886741; 6.9658945; 23.7251034; -0.1498322; 0.9151037; 3.3819866; 1.3038280
5.3882385; 6.9780289; 23.9250900; 0.0249644; 0.7983285; 3.4580672; 2.2136011
5.5878029; 6.9582860; 24.1234802; 0.1685491; 0.6521659; 3.5835375; 3.3675337
5.7873673; 6.9129043; 24.3194701; 0.2788280; 0.4312019; 3.7664068; 5.0155250
5.9869317; 6.8514414; 24.5086237; 0.3436161; 0.2593840; 4.0233892; 4.9753811
6.1864960; 6.7804802; 24.6938023; 0.3844567; 0.1459406; 4.2630363; 4.9355586
6.3860604; 6.7031297; 24.8767614; 0.4163979; 0.1726161; 4.4881401; 4.8960548
6.5856248; 6.6195634; 25.0570403; 0.4522834; 0.1897399; 4.7008040; 4.8568671
6.7851892; 6.5282563; 25.2359322; 0.4921267; 0.2041421; 4.9026599; 4.8179932
6.9847536; 6.4306891; 25.4093870; 0.5326482; 0.2043072; 5.0950048; 4.7794303
7.1843180; 6.3256151; 25.5795924; 0.5731370; 0.1950624; 5.2788902; 4.7411762
7.3838824; 6.2139190; 25.7456313; 0.6107956; 0.1820484; 5.4551830; 4.7032282
7.5834468; 6.0965030; 25.9073219; 0.6444987; 0.1560882; 5.6246080; 4.6655839
7.7830112; 5.9742747; 26.0650401; 0.6732570; 0.1304067; 5.7877788; 4.6282410
7.9825755; 5.8481271; 26.2193916; 0.6960097; 0.0971622; 5.9452206; 4.5911969
8.1821399; 5.7193244; 26.3710385; 0.7105201; 0.0468603; 6.0973869; 4.5544493
8.3817043; 5.5886971; 26.5219383; 0.7151241; 0.0086498; 6.2446728; 4.5179959
8.5812687; 5.4577038; 26.6725907; 0.7160255; 0.0004923; 6.3874252; 4.4818342
8.7808331; 5.3268728; 26.8230061; 0.7156018; -0.0037024; 6.5259505; 4.4459620
8.9803975; 5.1956552; 26.9740895; 0.7145978; -0.0061647; 6.6605211; 4.4103768
9.1799619; 5.0652586; 27.1245870; 0.7132974; -0.0068950; 6.7913805; 4.3750765
9.3795263; 4.9346718; 27.2757228; 0.7118628; -0.0072663; 6.9187476; 4.3400588
9.5790907; 4.8043237; 27.4270241; 0.7104204; -0.0071844; 7.0428198; 4.3053213
9.7786550; 4.6743617; 27.5783119; 0.7090403; -0.0065051; 7.1637761; 4.2708619
9.9782194; 4.5443001; 27.7301143; 0.7078246; -0.0056408; 7.2817795; 4.2366782
10.1777838; 4.4147368; 27.8816763; 0.7068278; -0.0043664; 7.3969786; 4.2027682
10.3773482; 4.2850976; 28.0335950; 0.7060822; -0.0030557; 7.5095099; 4.1691296
